start;label
0.243809524;Measure 0.750
0.993764172;Measure 1
3.524489796;Measure 2
5.988843537;Measure 3
8.560430839;Measure 4
11.163219955;Measure 5
13.677188209;Measure 6
16.168866213;Measure 7
18.939909297;Measure 8
21.745487528;Measure 9
24.427392290;Measure 10
27.155215420;Measure 11
29.732947846;Measure 12
32.209569161;Measure 13
34.646530612;Measure 14
37.251678005;Measure 15
39.764557823;Measure 16
42.658027211;Measure 17
45.164240363;Measure 18
47.631156463;Measure 19
50.031473923;Measure 20
52.741201814;Measure 21
55.603560091;Measure 22
58.503696145;Measure 23
61.603174603;Measure 24
64.515759637;Measure 25
67.423696145;Measure 26
70.171292517;Measure 27
73.795555556;Measure 28
76.578956916;Measure 29
79.560476190;Measure 30
82.298820862;Measure 31
84.865147392;Measure 32
87.401927438;Measure 33
89.837142857;Measure 34
92.259750567;Measure 35
94.686235828;Measure 36
97.247823129;Measure 37
99.684172336;Measure 38
102.298435374;Measure 39
104.778435374;Measure 40
107.153378685;Measure 41
109.460884354;Measure 42
111.814126984;Measure 43
114.182199546;Measure 44
116.518616780;Measure 45
119.025578231;Measure 46
121.612290249;Measure 47
124.308049887;Measure 48
127.549750567;Measure 49
129.849070295;Measure 50
132.287233560;Measure 51
134.677460317;Measure 52
137.141065760;Measure 53
139.717505669;Measure 54
142.885918367;Measure 55
144.817052154;Measure 55.500
