t1_sec,t2_sec
0.0,0.0
0.02,0.02
0.04,0.04
0.06,0.06
0.08,0.08
0.1,0.1
0.12,0.12
0.14,0.14
0.16,0.16
0.18,0.52
0.2,0.54
0.22,0.56
0.24,0.58
0.26,0.6
0.28,0.62
0.3,0.64
0.32,0.66
0.34,0.68
0.36,0.7
0.38,0.72
0.4,0.74
0.42,0.76
0.44,0.78
0.46,0.8
0.5,0.82
0.52,0.84
0.54,0.86
0.56,0.88
0.58,0.9
0.6,0.92
0.62,0.94
0.64,0.96
0.7,0.98
0.72,1.0
0.74,1.02
0.76,1.04
0.78,1.06
0.8,1.08
0.82,1.1
0.84,1.12
0.86,1.14
0.88,1.16
0.9,1.18
0.92,1.2
0.94,1.22
0.96,1.24
0.98,1.26
1.0,1.28
1.04,1.3
1.08,1.32
1.1,1.34
1.12,1.36
1.14,1.38
1.16,1.4
1.18,1.42
1.2,1.44
1.22,1.46
1.24,1.48
1.3,1.5
1.32,1.52
1.34,1.54
1.36,1.56
1.38,1.58
1.4,1.6
1.42,1.62
1.44,1.64
1.46,1.66
1.48,1.68
1.5,1.7
1.52,1.72
1.54,1.74
1.56,1.76
1.58,1.78
1.6,1.8
1.62,1.82
1.64,1.84
1.66,1.86
1.68,1.88
1.7,1.9
1.72,1.92
1.74,1.94
1.76,1.96
1.78,1.98
1.8,2.0
1.82,2.02
1.84,2.04
1.86,2.06
1.88,2.08
1.9,2.1
1.92,2.12
1.94,2.14
1.96,2.16
1.98,2.18
2.0,2.36
2.02,2.38
2.04,2.4
2.06,2.42
2.08,2.44
2.1,2.46
2.12,2.48
2.14,2.5
2.16,2.52
2.18,2.54
2.2,2.56
2.22,2.58
2.24,2.6
2.28,2.62
2.3,2.64
2.32,2.66
2.34,2.68
2.36,2.7
2.38,2.72
2.4,2.76
2.44,2.78
2.46,2.8
2.48,2.82
2.5,2.84
2.52,2.86
2.54,2.88
2.56,2.9
2.58,2.92
2.6,2.94
2.62,2.96
2.64,2.98
2.68,3.0
2.7,3.02
2.72,3.04
2.74,3.06
2.76,3.08
