krueger,alciatore
0.000,0.929
0.464,2.415
0.929,2.879
1.393,3.344
1.858,3.715
2.322,4.087
2.786,4.737
3.251,5.201
3.715,5.573
4.180,6.037
4.644,6.502
5.108,7.059
5.573,7.523
6.037,7.895
6.502,8.359
6.966,8.916
7.430,9.381
7.895,9.752
8.359,10.124
8.824,10.588
9.288,11.053
9.752,11.517
10.217,11.889
10.681,12.353
11.146,12.817
11.610,13.282
12.074,13.653
12.539,14.211
13.003,14.582
13.468,15.047
13.932,15.418
14.396,15.975
14.861,16.440
15.325,16.811
15.790,17.276
16.254,17.740
16.718,18.297
17.183,18.576
17.647,19.040
18.112,19.412
18.576,19.876
19.040,20.155
19.505,20.434
19.969,20.898
20.434,21.641
20.898,22.291
21.362,22.848
21.827,23.313
22.291,23.777
22.756,24.335
23.220,24.706
23.684,24.706
24.149,24.706
24.613,25.821
25.078,26.471
25.542,26.935
26.006,27.400
26.471,27.864
26.935,28.607
27.400,28.793
27.864,29.257
28.328,29.722
28.793,30.093
29.257,30.557
29.722,31.022
30.186,31.579
30.650,31.951
31.115,32.508
31.579,32.879
32.044,33.715
32.508,33.901
32.972,34.366
33.437,34.830
33.901,35.573
34.366,35.759
34.830,36.780
35.294,36.780
35.759,37.245
36.223,37.709
36.688,38.266
37.152,38.638
37.616,38.917
38.081,39.381
38.545,39.753
39.010,40.774
39.474,41.053
39.938,41.517
40.403,41.982
40.867,42.446
41.332,43.375
41.796,43.468
42.260,43.746
42.725,44.211
43.189,44.675
43.654,45.140
44.118,45.697
44.582,45.976
45.047,46.347
45.511,47.090
45.976,47.462
46.440,47.926
46.904,48.112
47.369,48.669
47.833,49.226
48.298,49.784
48.762,50.248
49.226,50.712
49.691,51.084
49.691,0.929
50.155,2.415
50.620,2.879
51.084,3.344
51.548,3.715
52.013,4.087
52.477,4.737
52.941,5.201
53.406,5.573
53.870,6.037
54.335,6.502
54.799,7.059
55.263,7.523
55.728,7.895
56.192,8.359
56.657,8.916
57.121,9.381
57.585,9.752
58.050,10.124
58.514,10.588
58.979,11.053
59.443,11.517
59.907,11.889
60.372,12.353
60.836,12.817
61.301,13.282
61.765,13.653
62.229,14.211
62.694,14.582
63.158,15.047
63.623,15.418
64.087,15.975
64.551,16.440
65.016,16.811
65.480,17.276
65.945,17.740
66.409,18.297
66.873,18.576
67.338,19.040
67.802,19.412
68.267,19.876
68.731,20.155
69.195,20.434
69.660,20.898
70.124,21.641
70.589,22.291
71.053,22.848
71.517,23.313
71.982,23.777
72.446,24.335
72.911,24.706
73.375,24.706
73.839,24.706
74.304,25.821
74.768,26.471
75.233,26.935
75.697,27.400
76.161,27.864
76.626,28.607
77.090,28.793
77.555,29.257
78.019,29.722
78.483,30.093
78.948,30.557
79.412,31.022
79.877,31.579
80.341,31.951
80.805,32.508
81.270,32.879
81.734,33.715
82.199,33.901
82.663,34.366
83.127,34.830
83.592,35.573
84.056,35.759
84.521,36.780
84.985,36.780
85.449,37.245
85.914,37.709
86.378,38.266
86.843,38.638
87.307,38.917
87.771,39.381
88.236,39.753
88.700,40.774
89.165,41.053
89.629,41.517
90.093,41.982
90.558,42.446
91.022,43.375
91.487,43.468
91.951,43.746
92.415,44.211
92.880,44.675
93.344,45.140
93.809,45.697
94.273,45.976
94.737,46.347
95.202,47.090
95.666,47.462
96.131,47.926
96.595,48.112
97.059,48.669
97.524,49.226
97.988,49.784
98.453,50.248
98.917,50.712
99.381,51.084
99.381,51.270
99.846,51.827
100.310,52.198
100.775,52.663
101.239,53.127
101.703,53.499
102.168,53.963
102.632,54.335
103.097,54.706
103.561,55.171
104.025,55.635
104.490,56.099
104.954,56.471
105.419,56.935
105.883,57.307
106.347,57.771
106.812,58.236
107.276,58.700
107.741,58.793
108.205,59.443
108.669,59.907
109.134,60.372
109.598,60.743
110.063,61.208
110.527,61.579
110.991,62.044
111.456,62.415
111.920,62.880
112.385,63.344
112.849,63.716
113.313,64.180
113.778,64.644
114.242,65.109
114.707,65.573
115.171,65.945
115.635,66.409
116.100,66.873
116.564,67.338
117.029,67.802
117.493,68.174
117.957,68.638
118.422,69.103
118.886,69.567
119.351,70.031
119.815,70.496
120.279,70.960
120.744,71.425
121.208,71.889
121.673,72.446
