measure,hu33_samples,notes_ticks
0.000000,0,0
0.020000,441,19
0.040000,882,38
0.060000,1323,58
0.080000,1764,77
0.100000,2205,96
0.120000,2646,115
0.140000,3087,134
0.160000,3528,154
0.180000,3969,173
0.200000,4410,192
0.220000,4851,211
0.240000,5292,230
0.260000,5733,250
0.280000,6174,269
0.300000,6615,288
0.320000,7056,307
0.340000,7497,326
0.360000,7938,346
0.380000,8379,365
0.400000,8820,384
0.420000,9261,403
0.440000,9702,422
0.460000,10143,442
0.480000,10584,461
0.500000,11025,480
0.520000,11466,499
0.540000,11907,518
0.560000,12348,538
0.580000,12789,557
0.600000,13230,576
0.620000,13671,595
0.640000,14112,614
0.660000,14553,634
0.680000,14994,653
0.700000,15435,672
0.720000,15876,691
0.740000,16317,710
0.760000,16758,730
0.780000,17199,749
0.800000,17640,768
0.820000,18081,787
0.840000,18522,806
0.860000,18963,826
0.880000,19404,845
0.900000,19845,864
0.920000,20286,883
0.940000,20727,902
0.960000,21168,922
0.980000,21609,941
0.990000,22050,950
1.000000,22491,960
1.005000,22932,979
1.010000,23373,998
1.015000,23814,1018
1.020000,24255,1037
1.025000,24696,1056
1.030000,25137,1075
1.035000,25578,1094
1.040000,26019,1114
1.045000,26460,1133
1.050000,26901,1152
1.055000,27342,1171
1.060000,27783,1190
1.065000,28224,1210
1.070000,28665,1229
1.075000,29106,1248
1.080000,29547,1267
1.085000,29988,1286
1.090000,30429,1306
1.095000,30870,1325
1.100000,31311,1344
1.105000,31752,1363
1.110000,32193,1382
1.115000,32634,1402
1.120000,33075,1421
1.125000,33516,1440
1.130000,33957,1459
1.135000,34398,1478
1.215000,34839,1786
1.220000,35280,1805
1.225000,35721,1824
1.230000,36162,1843
1.235000,36603,1862
1.240000,37044,1882
1.245000,37485,1901
1.250000,37926,1920
1.255000,38367,1939
1.260000,38808,1958
1.265000,39249,1978
1.270000,39690,1997
1.275000,40131,2016
1.280000,40572,2035
1.285000,41013,2054
1.290000,41454,2074
1.295000,41895,2093
1.300000,42336,2112
1.305000,42777,2131
1.310000,43218,2150
1.315000,43659,2170
1.320000,44100,2189
1.325000,44541,2208
1.330000,44982,2227
1.335000,45423,2246
1.340000,45864,2266
1.345000,46305,2285
1.350000,46746,2304
1.355000,47187,2323
1.360000,47628,2342
